stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
123104,8401121-1,Kagu,58.36880599,25.58615659,123104,,Viljandi linn,,6470909.00,592814.00,ViljandiLinn,Viljandi MV
132104,7400928-1,Laevaehitaja,58.21721975,22.39374601,132104,,Saaremaa vald,,6454058.50,405605.96,,Saare MV
128404,22343-1,Kirivalla,59.127694,25.111222,128404,,Kose vald,,6554866.70,563626.02,Harju4,Harjumaa ÜTK
13198,14609-1,Vesse parkla,59.42905594,24.83806176,13198,,Lasnamäe,,6588208.20,547567.01,Harju1,Tallinna TA
149326,7801340-1,Äksi kalmistu,58.52959296,26.65247271,149326,,Tartu vald,"Äksi suunas",6490774.50,654475.56,,Tartu MV
21603,5700118-1,Kersleti,59.02897048,23.16656077,21603,,Vormsi vald,,6543640.00,452141.59,,Lääne MV
132179,02112-1,Rebasemägi,59.41824866,24.6538483,132179,,Haabersti,,6586888.00,537123.47,Harju1,Tallinna TA
132187,7801208-1,Kengu,58.21658824,26.74497668,132187,,Kambja vald,"Sirvaku suunas",6456158.50,661286.12,,Tartu MV
132188,7801255-1,Kengu,58.2166756,26.74509202,132188,,Kambja vald,"Kambja suunas",6456168.50,661292.50,,Tartu MV
132189,7801256-1,Veinioja,58.20910085,26.7996212,132189,,Kambja vald,"Sirvaku suunas",6455458.00,664529.81,,Tartu MV
132190,7801257-1,Veinioja,58.20920146,26.79974514,132190,,Kambja vald,"Kambja suunas",6455469.50,664536.62,,Tartu MV
149325,7801339-1,Äksi kalmistu,58.52972218,26.65252436,149325,,Tartu vald,"Tabivere suunas",6490789.00,654478.00,,Tartu MV
132209,47203-1,Kadaka,59.38280827,24.3335109,132209,,Harku vald,,6582806.00,518955.56,Harju3,Harjumaa ÜTK
132210,47206-1,Jüri,59.37195276,24.35349335,132210,,Harku vald,,6581602.50,520097.65,Harju3,Harjumaa ÜTK
132211,47210-1,Mäe,59.36971338,24.37445908,132211,,Harku vald,,6581359.50,521291.03,Harju3,Harjumaa ÜTK
132212,47209-1,Männi,59.36536583,24.40566722,132212,,Harku vald,,6580885.50,523068.37,Harju3,Harjumaa ÜTK
132213,47204-1,Hindreku,59.45555347,24.40686754,132213,,Harku vald,,6590933.00,523075.68,Harju2,Harjumaa ÜTK
132214,47202-1,Kadaka,59.38277234,24.33351934,132214,,Harku vald,,6582802.00,518956.06,Harju3,Harjumaa ÜTK
132215,47207-1,Jüri,59.37192622,24.35334687,132215,,Harku vald,,6581599.50,520089.34,Harju3,Harjumaa ÜTK
132216,47211-1,Mäe,59.36967296,24.37446689,132216,,Harku vald,,6581355.00,521291.50,Harju3,Harjumaa ÜTK
132217,47208-1,Männi,59.36533919,24.40557239,132217,,Harku vald,,6580882.50,523063.00,Harju3,Harjumaa ÜTK
132218,47205-1,Hindreku,59.45553066,24.40698794,132218,,Harku vald,,6590930.50,523082.53,Harju2,Harjumaa ÜTK
14853,13413-2,Lennujaam,59.41630695,24.79833373,14853,Airport,Lasnamäe,,6586760.50,545329.12,Harju1,Tallinna TA
14852,13413-3,Lennujaam,59.41648657,24.79832031,14852,Airport,Lasnamäe,,6586780.50,545328.12,Harju1,Tallinna TA
22267,6700865-1,Sanga tee,58.42546529,24.43879567,22267,,Pärnu linn,,6476206.05,525637.07,,Pärnu MV
29138,7801043-1,Vanaaseme tee,58.41059695,26.60765149,29138,,Tartu linn,"Tartu suunas",6477428.50,652381.68,,Tartu LV
28017,8400110-1,Jakobsoni kool,58.34531723,25.57839519,28017,,Viljandi linn,"Kesklinna suunas",6468282.88,592421.48,ViljandiLinn,Viljandi MV
26054,5100212-1,Kärevere,58.724878,25.520647,26054,Kärevere,Türi vald,,6510469.38,588082.37,tartu1,Järvamaa ÜTK
141856,8490048-1,Luuguse,58.31205207,25.55604736,141856,,Viljandi vald,"Ramsi suunas",6464548.30,591199.10,,Viljandi MV
132273,6500876-1,Krootuse kool,58.07206658,26.84143134,132273,,Kanepi vald,,6440312.50,667631.81,,Põlva MV
24881,7820096-1,Kloostri,58.38407818,26.71649249,24881,,Tartu linn,,6474729.72,658858.13,TartuLinn,Tartu LV
